TV 1 Display,Appetizers,Fresh Mozzarella Tomato & Basil,With extra virgin olive oil/oregano dressing,$10.00 
TV 1 Display,Appetizers,Fried Calamari,Served with a marinara sauce,$11.00 
TV 1 Display,Appetizers,Golden Fried Mozzarella Sticks,Served with a marinara sauce,$8.00 
TV 1 Display,Appetizers,Garlic Cheese Bread,A blend of creamy butter garlic herbs and parmesan,$6.00 
TV 1 Display,Appetizers,Bruschetta,Topped with diced tomatoes basil and virgin olive oil,$8.00 
TV 1 Display,Appetizers,Golden Chicken Tenders,Served with BBQ sauce,$9.00 
TV 1 Display,Appetizers,Jalapeno Cheese Poppers,Served with marinara sauce,$8.00 
TV 1 Display,Appetizers,Beer Battered Deep Fried Shrimp,Served with cocktail sauce,$9.00 
TV 1 Display,Appetizers,Sampler For Two,A combination of mozzarella sticks cheese poppers chicken tenders and beer battered shrimp,$12.00 
TV 1 Display,Appetizers,Onion Rings,Served with marinara sauce,$5.75 
TV 1 Display,Appetizers,Spicy Buffalo Wings 8pcs $11.00 20pcs $25.00 30pcs $38.00,Served with Blue Cheese Dressing,  
TV 1 Display,Appetizers,Antipasto,A delicious combination of genoa salami suppressant capicola baked ham prosciutto and provolone cheese garnished with Kalamata olives and sun-dried tomatoes,$12.00 
TV 1 Display,Soups,Soup Of The Day, ,$6.00 
TV 1 Display,Soups,Tuscan Minestrone, ,$6.00 
TV 1 Display,Gourmet Salads,House Salad,Mixed Green radicchio tomato cucumber carrots red onion mushroom and house croutons,$9.50 
TV 1 Display,Gourmet Salads,Caesar Salad,Crisp romaine herb croutons parmesan cheese tossed in our house tangy Caesar dressing,$9.00 
TV 1 Display,Gourmet Salads,Chicken Caesar Salad,Grilled Chicken crisp romaine herb croutons parmesan cheese tossed in our house tangy Caesar dressing,$12.00 
TV 1 Display,Gourmet Salads,Spinach Salad,Fresh spinach topped with avocado mushroom bacon red pepper chopped egg and house croutons,$12.00 
TV 1 Display,Gourmet Salads,Goat Cheese Pecan Salad,Mixed green arugula radicchio caramelized pecans and dried cranberries with goat cheese and balsamic vinaigrette,$13.00 
TV 1 Display,Gourmet Salads,Arugula Romaine and Radicchio,Chards of Arugula Romaine & Radicchio served with your choice of dressing & shaved parmesan,$12.00 
TV 1 Display,Gourmet Salads,Gorgonzola Shrimp & Beet Salad,Mixed green arugula walnut with gorgonzola cheese mandarin & shrimp with your choice of dressing,$18.00 
TV 1 Display,Gourmet Salads,California Cobb Salad,Roasted turkey mixed greens gorgonzola cheese avocado chopped hard boiled eggs fresh tomato smoked bacon with your choice of dressing,$13.00 
TV 1 Display,Gourmet Salads,Insalata Panzanella (Italian Version Of Greek Salad),Florentine style salad crisp romaine cucumber tomato red onion parmesan and feta cheese house croutons served with a zesty red vinegar olive oil and herb dressing,$12.00 
TV 1 Display,Gourmet Salads,Gorgonzola Raisin & Walnut,Crisp romaine green leaf lettuce arugula radicchio toasted walnut raisins & gorgonzola cheese served with your choice of dressing,$13.00 
TV 1 Display,Gourmet Salads,Mediterranean Grilled Chicken,Chunks of seasoned grilled chicken mixed greens cucumber kalamata olives feta cheese capers and grilled eggplant served with your choice of dressing topped with pumpkin seeds,$13.00 
TV 1 Display,Gourmet Salads,Grilled Portobello & Button Mushroom,Mixed greens topped with lots of grilled portobello & button mushrooms roasted red peppers served with your choice of dressing,$12.00 
TV 1 Display,Gourmet Salads,Roasted Turkey Apple & Mozzarella,Chunks of roasted turkey golden delicious apples & smoked mozzarella on mixed greens with toasted walnuts & a honey mustard dressing,$13.00 
TV 1 Display,Gourmet Salads,Grilled Chicken Pesto Salad,Slices of marinated grilled chicken served on a bed of mixed greens garnished with tomato and cucumber served over penne pasta & our house pesto dressing,$13.00 
TV 1 Display,Gourmet Salads,Shrimp Caesar Salad,Crisp romaine herb croutons parmesan cheese tossed in our tangy Caesar dressing,$17.00 
